iv,id,q,l,s,tf,td,tc,co,cf,w
1,1,200,100000,1,0,0,10,1,0,100000
2,1,200,100000,1,0,0,10,1,0,100000
3,1,200,100000,1,0,0,10,1,0,100000
4,1,200,100000,1,0,0,10,1,0,100000
5,1,200,100000,1,0,0,10,1,0,100000
6,1,200,100000,1,0,0,10,1,0,100000
7,1,200,100000,1,0,0,10,1,0,100000
8,1,200,100000,1,0,0,10,1,0,100000
9,1,200,100000,1,0,0,10,1,0,100000
10,1,200,100000,1,0,0,10,1,0,100000
11,1,200,100000,1,0,0,10,1,0,100000
12,1,200,100000,1,0,0,10,1,0,100000
13,1,200,100000,1,0,0,10,1,0,100000
14,1,200,100000,1,0,0,10,1,0,100000
15,1,200,100000,1,0,0,10,1,0,100000
16,1,200,100000,1,0,0,10,1,0,100000
17,1,200,100000,1,0,0,10,1,0,100000
18,1,200,100000,1,0,0,10,1,0,100000
19,1,200,100000,1,0,0,10,1,0,100000
20,1,200,100000,1,0,0,10,1,0,100000
21,1,200,100000,1,0,0,10,1,0,100000
22,1,200,100000,1,0,0,10,1,0,100000
23,1,200,100000,1,0,0,10,1,0,100000
24,1,200,100000,1,0,0,10,1,0,100000
25,1,200,100000,1,0,0,10,1,0,100000
